Categoria;Descrição ;Ref.;Saida; Rot ; Rot M ; Rot P ;CV; VC  ; Custo  ; VENDA ; MBR ; IPI ;NV;CL;EX;OR; IQ ;Fornecedor
Molduras;INSTAPOSTER KIT MOLDURA 10X15;PT;38;44,56;54,26;60;C;1 679;4,47;12,9;2,89;3,65;ST;U;EX;IMP;0;TERRA NOVA TRADING S/A
Molduras;INSTAPOSTER KIT MOLDURA 15X20;PT;18;25,39;30,49;40;C;1 376;5,81;17,5;3,01;3,82;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Molduras;LISTO KIT MOLDURA 20X25;BR;29;37,73;135,9;45;B;3 168;14,51;34,9;2,41;2,41;IN;N;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;LISTO KIT MOLDURA 20X25;PT;32;30,73;113,6;35;B;2 715;14,51;34,9;2,41;2,41;IN;N;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;LISTO KIT MOLDURA 30X40;BR;36;21,69;109,8;35;B;3 045;24,33;54,9;2,26;2,26;IN;N;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;LISTO KIT MOLDURA 30X40;PT;28;26,07;95,6;25;B;3 610;24,33;54,9;2,26;2,26;IN;N;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;LISTO KIT MOLDURA 40X50;BR;27;23,89;48,9;25;A;3 751;25,86;59,9;2,32;2,32;IN;N;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;LISTO KIT MOLDURA 40X50;PT;56;30,57;46,6;14;A;4 668;25,86;59,9;2,32;2,32;IN;N;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;LISTO KIT MOLDURA 47X62;BR;19;21,17;43,3;20;B;3 743;30,16;69,9;2,32;2,32;IN;N;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;LISTO KIT MOLDURA 47X62;PT;30;28,57;52,8;20;A;5 181;30,16;69,9;2,32;2,32;IN;N;EX;N;0;W V S INDUSTRIA E COMERCIO LTDA
Molduras;PROFOUND KIT MOLDURA 10X15;PT;57;50,33;60,63;55;B;2 859;5,89;18,5;3,14;3,98;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
